pre,id,Cuenta,Penloc_Label,Penloc_context0
P_G,124.01,Sueldos del Grupo A2,penloc2-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoA2,penloc2-econ-gast-importes:PrevisionInicial
P_G,124.02,Sueldos del Grupo B,penloc2-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoB,penloc2-econ-gast-importes:PrevisionInicial
P_G,124.03,Sueldos del Grupo C1,penloc2-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoC1,penloc2-econ-gast-importes:PrevisionInicial
P_G,124.04,Sueldos del Grupo C2,penloc2-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoC2,penloc2-econ-gast-importes:PrevisionInicial
P_G,124.05,Sueldos del Grupo E,penloc2-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoE,penloc2-econ-gast-importes:PrevisionInicial
P_G,124.06,Trienios,penloc2-econ-gast-cuentas:PersonalFuncionarioEnPracticas_Trienios,penloc2-econ-gast-importes:PrevisionInicial
P_G,124.09,Otras retribuciones básicas,penloc2-econ-gast-cuentas:PersonalFuncionarioEnPracticas_OtrasRetribucionesBasicas,penloc2-econ-gast-importes:PrevisionInicial
P_G,127,Contribuciones a planes y fondos de pensiones,penloc2-econ-gast-cuentas:PersonalFuncionario_ContribucionesAPlanesYFondosDePensiones,penloc2-econ-gast-importes:PrevisionInicial
P_G,13,Personal Laboral,penloc2-econ-gast-cuentas:PersonalLaboral,penloc2-econ-gast-importes:PrevisionInicial
P_G,130,Laboral Fijo,penloc2-econ-gast-cuentas:LaboralFijo,penloc2-econ-gast-importes:PrevisionInicial
P_G,130.00,Retribuciones básicas,penloc2-econ-gast-cuentas:PersonalLaboral_LaboralFijo_RetribucionesBasicas,penloc2-econ-gast-importes:PrevisionInicial
P_G,130.01,Horas extraordinarias,penloc2-econ-gast-cuentas:HorasExtraordinarias,penloc2-econ-gast-importes:PrevisionInicial
P_G,130.02,Otras remuneraciones,penloc2-econ-gast-cuentas:PersonalLaboral_LaboralFijo_OtrasRemuneraciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,131,Laboral temporal,penloc2-econ-gast-cuentas:LaboralTemporal,penloc2-econ-gast-importes:PrevisionInicial
P_G,132,Retribuciones en especie,penloc2-econ-gast-cuentas:PersonalLaboral_RetribucionesEnEspecie,penloc2-econ-gast-importes:PrevisionInicial
P_G,137,Contribuciones a planes y fondos de pensiones,penloc2-econ-gast-cuentas:PersonalLaboral_ContribucionesAPlanesYFondosDePensiones,penloc2-econ-gast-importes:PrevisionInicial
P_G,14,Otro personal,penloc2-econ-gast-cuentas:OtroPersonal,penloc2-econ-gast-importes:PrevisionInicial
P_G,143,Otro personal,penloc2-econ-gast-cuentas:OtroPersonal_OtroPersonal,penloc2-econ-gast-importes:PrevisionInicial
