pre,id,Cuenta,Penloc_Label,Penloc_context0
P_I,220.04,Impuesto sobre hidrocarburos,penloc2-econ-ingr-cuentas:ImpuestoSobreHidrocarburos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,220.05,Impuesto sobre determinados medios de transporte,penloc2-econ-ingr-cuentas:ImpuestoSobreDeterminadosMediosDeTransporte,penloc2-econ-ingr-importes:PrevisionInicial
P_I,220.06,Impuesto sobre productos intermedios,penloc2-econ-ingr-cuentas:ImpuestoSobreProductosIntermedios,penloc2-econ-ingr-importes:PrevisionInicial
P_I,220.07,Impuesto sobre la energía,penloc2-econ-ingr-cuentas:ImpuestoSobreLaEnergia,penloc2-econ-ingr-importes:PrevisionInicial
P_I,220.08,Impuesto sobre ventas minoristas de hidrocarburos,penloc2-econ-ingr-cuentas:ImpuestoSobreVentasMinoristasDeHidrocarburos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,220.09,Exacción sobre la gasolina,penloc2-econ-ingr-cuentas:ExaccionSobreLaGasolina,penloc2-econ-ingr-importes:PrevisionInicial
P_I,26,Recargos sobre impuestos indirectos del Estado y de la Comunidad Autónoma,penloc2-econ-ingr-cuentas:RecargosSobreImpuestosIndirectosDelEstadoYDeLaComunidadAutonoma,penloc2-econ-ingr-importes:PrevisionInicial
P_I,260,Sobre impuestos del Estado,penloc2-econ-ingr-cuentas:ImpuestosIndirectos_RecargosSobreImpuestosIndirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDelEstado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,261,Sobre impuestos de la Comunidad Autónoma,penloc2-econ-ingr-cuentas:ImpuestosIndirectos_RecargosSobreImpuestosIndirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDeLaComunidadAutonoma,penloc2-econ-ingr-importes:PrevisionInicial
P_I,27,Recargos sobre impuestos indirectos de otros entes locales,penloc2-econ-ingr-cuentas:RecargosSobreImpuestosIndirectosDeOtrosEntesLocales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,270,Sobre impuestos de otros entes locales,penloc2-econ-ingr-cuentas:SobreImpuestosDeOtrosEntesLocales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,28,Impuestos indirectos extinguidos,penloc2-econ-ingr-cuentas:ImpuestosIndirectosExtinguidos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,29,Otros impuestos indirectos,penloc2-econ-ingr-cuentas:OtrosImpuestosIndirectos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,290,"Impuesto sobre construcciones, instalaciones y obras",penloc2-econ-ingr-cuentas:ImpuestoSobreConstruccionesInstalacionesYObras,penloc2-econ-ingr-importes:PrevisionInicial
P_I,291,Impuesto sobre gastos suntuarios (Cotos de caza y pesca),penloc2-econ-ingr-cuentas:ImpuestoSobreGastosSuntuariosCotosDeCazaYPesca,penloc2-econ-ingr-importes:PrevisionInicial
P_I,292,Arbitrio sobre importaciones y entregas de mercancías en Canarias (AIEM),penloc2-econ-ingr-cuentas:ArbitrioSobreImportacionesYEntregasDeMercanciasEnCanariasAiem,penloc2-econ-ingr-importes:PrevisionInicial
P_I,293,Impuesto general indirecto canario (IGIC),penloc2-econ-ingr-cuentas:ImpuestoGeneralIndirectoCanarioIgic,penloc2-econ-ingr-importes:PrevisionInicial
P_I,294,"Impuesto sobre la producción, los servicios y la importación (IPSI) de Ceuta y Melilla",penloc2-econ-ingr-cuentas:ImpuestoSobreLaProduccionLosServiciosYLaImportacionIpsiDeCeutaYMelilla,penloc2-econ-ingr-importes:PrevisionInicial
P_I,295,Impuesto sobre primas de seguros,penloc2-econ-ingr-cuentas:ImpuestoSobrePrimasDeSeguros,penloc2-econ-ingr-importes:PrevisionInicial
P_I,296,Impuesto sobre transmisiones patrimoniales y actos jurídicos documentados,penloc2-econ-ingr-cuentas:ImpuestoSobreTransmisionesPatrimonialesYActosJuridicosDocumentados,penloc2-econ-ingr-importes:PrevisionInicial
P_I,299,Otros Impuestos indirectos,penloc2-econ-ingr-cuentas:OtrosImpuestosIndirectos_OtrosImpuestosIndirectos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",penloc2-econ-ingr-cuentas:TasasPreciosPublicosYOtrosIngresos,penloc2-econ-ingr-importes:PrevisionInicial
