pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4,Lenloc_context5,Lenloc_context6,Lenloc_context7,Lenloc_context8
L_PR,15,Vivienda y urbanismo,lenloc3-prog-cuentas:ViviendaYUrbanismo,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,150,Administración General de Vivienda y urbanismo,lenloc3-prog-cuentas:AdministracionGeneralDeViviendaYUrbanismo,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,151,Urbanismo,lenloc3-prog-cuentas:Urbanismo,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,152,Vivienda,lenloc3-prog-cuentas:Vivienda,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,153,Acceso a la vivienda,lenloc3-prog-cuentas:AccesoALaVivienda,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,154,Fomento de la edificación protegida,lenloc3-prog-cuentas:FomentoDeLaEdificacionProtegida,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,155,Vías públicas,lenloc3-prog-cuentas:ViasPublicas,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,16,Bienestar comunitario,lenloc3-prog-cuentas:BienestarComunitario,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,161,"Saneamiento, abastecimiento y distribución de aguas.",lenloc3-prog-cuentas:SaneamientoAbastecimientoYDistribucionDeAguas,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,162,"Recogida, eliminación y tratamiento de residuos.",lenloc3-prog-cuentas:RecogidaEliminacionYTratamientoDeResiduos,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc3-econ-gast-cuentas:GastosFinancieros,lenloc3-econ-gast-cuentas:TransferenciasCorrientes,lenloc3-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,lenloc3-econ-gast-cuentas:InversionesReales,lenloc3-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc3-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc3-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
