pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4
L_I,116,Impuesto sobre Incremento del Valor de los Terrenos de Naturaleza Urbana,lenloc3-econ-ingr-cuentas:ImpuestoSobreIncrementoDelValorDeLosTerrenosDeNaturalezaUrbana,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,117,Impuesto sobre viviendas desocupadas,lenloc3-econ-ingr-cuentas:ImpuestoSobreViviendasDesocupadas,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,13,Impuesto sobre las Actividades Económicas,lenloc3-econ-ingr-cuentas:ImpuestoSobreLasActividadesEconomicas,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,130,Impuesto sobre Actividades Económicas,lenloc3-econ-ingr-cuentas:ImpuestoSobreActividadesEconomicas,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,16,Recargos sobre impuestos directos del Estado y de la Comunidad Autónoma,lenloc3-econ-ingr-cuentas:RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,160,Sobre impuestos del Estado,lenloc3-econ-ingr-cuentas:ImpuestosDirectos_RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDelEstado,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,161,Sobre impuestos de la Comunidad Autónoma,lenloc3-econ-ingr-cuentas:ImpuestosDirectos_RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDeLaComunidadAutonoma,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,17,Recargos sobre impuestos directos de otros entes locales,lenloc3-econ-ingr-cuentas:RecargosSobreImpuestosDirectosDeOtrosEntesLocales,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,170,En el Impuesto sobre Bienes Inmuebles,lenloc3-econ-ingr-cuentas:EnElImpuestoSobreBienesInmuebles,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,171,Recargo provincial en el Impuesto sobre Actividades Económicas,lenloc3-econ-ingr-cuentas:RecargoProvincialEnElImpuestoSobreActividadesEconomicas,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,179,Otros recargos sobre impuestos directos de otros entes locales,lenloc3-econ-ingr-cuentas:OtrosRecargosSobreImpuestosDirectosDeOtrosEntesLocales,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,18,Impuestos directos extinguidos,lenloc3-econ-ingr-cuentas:ImpuestosDirectosExtinguidos,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,19,Otros impuestos directos,lenloc3-econ-ingr-cuentas:OtrosImpuestosDirectos,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,2,IMPUESTOS INDIRECTOS,lenloc3-econ-ingr-cuentas:ImpuestosIndirectos,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
