pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3
L_I,117,Impuesto sobre viviendas desocupadas,lenloc2-econ-ingr-cuentas:ImpuestoSobreViviendasDesocupadas,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,13,Impuesto sobre las Actividades Económicas,lenloc2-econ-ingr-cuentas:ImpuestoSobreLasActividadesEconomicas,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,130,Impuesto sobre Actividades Económicas,lenloc2-econ-ingr-cuentas:ImpuestoSobreActividadesEconomicas,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,16,Recargos sobre impuestos directos del Estado y de la Comunidad Autónoma,lenloc2-econ-ingr-cuentas:RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,160,Sobre impuestos del Estado,lenloc2-econ-ingr-cuentas:ImpuestosDirectos_RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDelEstado,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,161,Sobre impuestos de la Comunidad Autónoma,lenloc2-econ-ingr-cuentas:ImpuestosDirectos_RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDeLaComunidadAutonoma,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,17,Recargos sobre impuestos directos de otros entes locales,lenloc2-econ-ingr-cuentas:RecargosSobreImpuestosDirectosDeOtrosEntesLocales,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,170,En el Impuesto sobre Bienes Inmuebles,lenloc2-econ-ingr-cuentas:EnElImpuestoSobreBienesInmuebles,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,171,Recargo provincial en el Impuesto sobre Actividades Económicas,lenloc2-econ-ingr-cuentas:RecargoProvincialEnElImpuestoSobreActividadesEconomicas,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,179,Otros recargos sobre impuestos directos de otros entes locales,lenloc2-econ-ingr-cuentas:OtrosRecargosSobreImpuestosDirectosDeOtrosEntesLocales,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
